name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","ratio"
"BM_do_with_exception/2048_mean",25,111.92,111.747,ns,,,,,,2430,2048
"BM_do_with_exception/2048_median",25,126.131,125.558,ns,,,,,,2430,2048
"BM_do_with_exception/2048_stddev",25,27.648,27.5442,ns,,,,,,0,0
"BM_do_with_exception/1024_mean",25,83.8151,83.8449,ns,,,,,,8750,1024
"BM_do_with_exception/1024_median",25,82.8389,83.7054,ns,,,,,,8750,1024
"BM_do_with_exception/1024_stddev",25,3.28954,3.37397,ns,,,,,,0,0
"BM_do_with_exception/512_mean",25,86.2659,86.1328,ns,,,,,,14583,512
"BM_do_with_exception/512_median",25,85.363,85.798,ns,,,,,,14583,512
"BM_do_with_exception/512_stddev",25,4.1648,4.25788,ns,,,,,,0,0
"BM_do_with_exception/256_mean",25,87.9292,87.9743,ns,,,,,,29166,256
"BM_do_with_exception/256_median",25,87.8133,87.8906,ns,,,,,,29166,256
"BM_do_with_exception/256_stddev",25,3.38491,3.64863,ns,,,,,,0,0
"BM_do_with_exception/128_mean",25,93.3772,93.3315,ns,,,,,,70000,128
"BM_do_with_exception/128_median",25,92.4701,92.4247,ns,,,,,,70000,128
"BM_do_with_exception/128_stddev",25,3.72871,3.83782,ns,,,,,,0,0
"BM_do_with_exception/64_mean",25,101.9,101.953,ns,,,,,,116666,64
"BM_do_with_exception/64_median",25,102.065,102.539,ns,,,,,,116666,64
"BM_do_with_exception/64_stddev",25,3.81371,4.16429,ns,,,,,,0,0
"BM_do_with_exception/16_mean",25,150.77,150.795,ns,,,,,,311111,16
"BM_do_with_exception/16_median",25,148.754,150.67,ns,,,,,,311111,16
"BM_do_with_exception/16_stddev",25,5.6387,5.69354,ns,,,,,,0,0
"BM_do_with_exception/8_mean",25,220.015,219.866,ns,,,,,,350000,8
"BM_do_with_exception/8_median",25,219.463,217.634,ns,,,,,,350000,8
"BM_do_with_exception/8_stddev",25,6.96576,7.0218,ns,,,,,,0,0
"BM_do_with_exception/4_mean",25,363.084,362.779,ns,,,,,,509091,4
"BM_do_with_exception/4_median",25,356.411,352.958,ns,,,,,,509091,4
"BM_do_with_exception/4_stddev",25,17.8072,17.9292,ns,,,,,,0,0
"BM_do_with_exception/2_mean",25,627.959,627.79,ns,,,,,,560000,2
"BM_do_with_exception/2_median",25,619.632,613.839,ns,,,,,,560000,2
"BM_do_with_exception/2_stddev",25,30.9891,32.9647,ns,,,,,,0,0
"BM_do_with_optional/2048_mean",25,81.7817,81.6825,ns,,,,,,4375,2048
"BM_do_with_optional/2048_median",25,80.7647,80.2176,ns,,,,,,4375,2048
"BM_do_with_optional/2048_stddev",25,2.95684,3.21079,ns,,,,,,0,0
"BM_do_with_optional/1024_mean",25,82.9167,82.9381,ns,,,,,,8750,1024
"BM_do_with_optional/1024_median",25,82.4482,83.7054,ns,,,,,,8750,1024
"BM_do_with_optional/1024_stddev",25,3.43682,3.37997,ns,,,,,,0,0
"BM_do_with_optional/512_mean",25,82.0425,82.0312,ns,,,,,,14583,512
"BM_do_with_optional/512_median",25,80.8006,79.5201,ns,,,,,,14583,512
"BM_do_with_optional/512_stddev",25,3.41614,3.67454,ns,,,,,,0,0
"BM_do_with_optional/256_mean",25,82.4383,82.4498,ns,,,,,,35000,256
"BM_do_with_optional/256_median",25,81.8131,81.9615,ns,,,,,,35000,256
"BM_do_with_optional/256_stddev",25,3.65672,3.88376,ns,,,,,,0,0
"BM_do_with_optional/128_mean",25,82.6384,82.659,ns,,,,,,70000,128
"BM_do_with_optional/128_median",25,81.4477,81.9615,ns,,,,,,70000,128
"BM_do_with_optional/128_stddev",25,3.42774,3.55964,ns,,,,,,0,0
"BM_do_with_optional/64_mean",25,82.6128,82.5893,ns,,,,,,140000,64
"BM_do_with_optional/64_median",25,81.9216,81.9615,ns,,,,,,140000,64
"BM_do_with_optional/64_stddev",25,3.9319,4.05487,ns,,,,,,0,0
"BM_do_with_optional/16_mean",25,81.9938,81.822,ns,,,,,,560000,16
"BM_do_with_optional/16_median",25,81.8382,81.9615,ns,,,,,,560000,16
"BM_do_with_optional/16_stddev",25,4.92313,4.50038,ns,,,,,,0,0
"BM_do_with_optional/8_mean",25,75.8738,75.7533,ns,,,,,,1.12e+06,8
"BM_do_with_optional/8_median",25,75.3197,74.986,ns,,,,,,1.12e+06,8
