name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","ratio"
"BM_do_with_exception/2048_mean",25,128.358,127.441,ns,,,,,,2430,2048
"BM_do_with_exception/2048_median",25,110.822,109.863,ns,,,,,,2430,2048
"BM_do_with_exception/2048_stddev",25,32.4943,31.5591,ns,,,,,,0,0
"BM_do_with_exception/1024_mean",25,91.4701,91.4062,ns,,,,,,7291,1024
"BM_do_with_exception/1024_median",25,89.6778,87.8906,ns,,,,,,7291,1024
"BM_do_with_exception/1024_stddev",25,7.92566,8.0078,ns,,,,,,0,0
"BM_do_with_exception/512_mean",25,98.6674,98.6049,ns,,,,,,14583,512
"BM_do_with_exception/512_median",25,92.8486,94.1685,ns,,,,,,14583,512
"BM_do_with_exception/512_stddev",25,12.8029,12.6761,ns,,,,,,0,0
"BM_do_with_exception/256_mean",25,93.6249,93.4989,ns,,,,,,29166,256
"BM_do_with_exception/256_median",25,91.3236,92.0759,ns,,,,,,29166,256
"BM_do_with_exception/256_stddev",25,8.05626,7.72954,ns,,,,,,0,0
"BM_do_with_exception/128_mean",25,112.966,112.835,ns,,,,,,58333,128
"BM_do_with_exception/128_median",25,106.982,108.817,ns,,,,,,58333,128
"BM_do_with_exception/128_stddev",25,15.6213,15.775,ns,,,,,,0,0
"BM_do_with_exception/64_mean",25,131.922,131.836,ns,,,,,,77777,64
"BM_do_with_exception/64_median",25,133.89,134.975,ns,,,,,,77777,64
"BM_do_with_exception/64_stddev",25,15.8354,15.9799,ns,,,,,,0,0
"BM_do_with_exception/16_mean",25,193.725,192.522,ns,,,,,,280000,16
"BM_do_with_exception/16_median",25,188.52,188.337,ns,,,,,,280000,16
"BM_do_with_exception/16_stddev",25,36.4184,34.8918,ns,,,,,,0,0
"BM_do_with_exception/8_mean",25,250.824,250.112,ns,,,,,,311111,8
"BM_do_with_exception/8_median",25,248.026,251.116,ns,,,,,,311111,8
"BM_do_with_exception/8_stddev",25,21.1245,19.9086,ns,,,,,,0,0
"BM_do_with_exception/4_mean",25,416.417,413.476,ns,,,,,,386207,4
"BM_do_with_exception/4_median",25,404.344,404.576,ns,,,,,,386207,4
"BM_do_with_exception/4_stddev",25,42.3605,40.3859,ns,,,,,,0,0
"BM_do_with_exception/2_mean",25,664.645,662.946,ns,,,,,,560000,2
"BM_do_with_exception/2_median",25,652.752,655.692,ns,,,,,,560000,2
"BM_do_with_exception/2_stddev",25,58.021,54.1994,ns,,,,,,0,0
"BM_do_with_optional/2048_mean",25,97.1894,97.0703,ns,,,,,,3125,2048
"BM_do_with_optional/2048_median",25,93.9131,92.7734,ns,,,,,,3125,2048
"BM_do_with_optional/2048_stddev",25,8.36842,8.52397,ns,,,,,,0,0
"BM_do_with_optional/1024_mean",25,91.6537,91.6574,ns,,,,,,7291,1024
"BM_do_with_optional/1024_median",25,89.5816,89.9833,ns,,,,,,7291,1024
"BM_do_with_optional/1024_stddev",25,6.21648,6.61749,ns,,,,,,0,0
"BM_do_with_optional/512_mean",25,101.74,101.116,ns,,,,,,14583,512
"BM_do_with_optional/512_median",25,99.2971,100.446,ns,,,,,,14583,512
"BM_do_with_optional/512_stddev",25,13.7149,13.6653,ns,,,,,,0,0
"BM_do_with_optional/256_mean",25,91.2246,91.1691,ns,,,,,,35000,256
"BM_do_with_optional/256_median",25,89.9824,90.6808,ns,,,,,,35000,256
"BM_do_with_optional/256_stddev",25,5.14422,4.86826,ns,,,,,,0,0
"BM_do_with_optional/128_mean",25,94.2645,93.9174,ns,,,,,,58333,128
"BM_do_with_optional/128_median",25,91.973,92.0759,ns,,,,,,58333,128
"BM_do_with_optional/128_stddev",25,8.68594,8.24579,ns,,,,,,0,0
"BM_do_with_optional/64_mean",25,91.7581,91.7969,ns,,,,,,140000,64
"BM_do_with_optional/64_median",25,89.6682,90.6808,ns,,,,,,140000,64
"BM_do_with_optional/64_stddev",25,6.10725,5.95387,ns,,,,,,0,0
"BM_do_with_optional/16_mean",25,85.9597,85.9375,ns,,,,,,350000,16
"BM_do_with_optional/16_median",25,82.2004,83.7054,ns,,,,,,350000,16
"BM_do_with_optional/16_stddev",25,7.05484,7.0218,ns,,,,,,0,0
"BM_do_with_optional/8_mean",25,84.7017,84.6819,ns,,,,,,1.12e+06,8
"BM_do_with_optional/8_median",25,79.8457,80.2176,ns,,,,,,1.12e+06,8
"BM_do_with_optional/8_stddev",25,10.2338,10.2809,ns,,,,,,0,0
"BM_do_with_optional/4_mean",25,71.8855,71.875,ns,,,,,,2.8e+06,4
"BM_do_with_optional/4_median",25,69.7822,69.7545,ns,,,,,,2.8e+06,4
"BM_do_with_optional/4_stddev",25,3.40181,3.53667,ns,,,,,,0,0
"BM_do_with_optional/2_mean",25,52.1037,52.0625,ns,,,,,,5e+06,2
"BM_do_with_optional/2_median",25,50.5415,51.5625,ns,,,,,,5e+06,2
"BM_do_with_optional/2_stddev",25,3.36648,3.33659,ns,,,,,,0,0
"BM_do_with_ref/2048_mean",25,87.4992,87.5,ns,,,,,,3125,2048
"BM_do_with_ref/2048_median",25,86.4104,87.8906,ns,,,,,,3125,2048
"BM_do_with_ref/2048_stddev",25,4.38808,4.32618,ns,,,,,,0,0
"BM_do_with_ref/1024_mean",25,89.4282,89.4531,ns,,,,,,6250,1024
"BM_do_with_ref/1024_median",25,87.0425,87.8906,ns,,,,,,6250,1024
"BM_do_with_ref/1024_stddev",25,5.32494,5.54402,ns,,,,,,0,0
"BM_do_with_ref/512_mean",25,90.5448,90.4018,ns,,,,,,14583,512
"BM_do_with_ref/512_median",25,88.4838,87.8906,ns,,,,,,14583,512
